model,accuracy,macro_f1,macro_precision,macro_recall
Image-only,0.9826666666666667,0.9727208550751479,0.9711653600282804,0.9745331429767576
Text-only,0.997,0.9948661052302983,0.9941300923018958,0.9956211770313509
Fusion (multi-modal),0.9946666666666667,0.990479832767454,0.9877925599867001,0.9932513970894234
